"V1" "V2" "V3" "pol_chr" "hydrophobe"
"1" "cys_pos" 2 1 0 0
"3" "ASA_cys" 1 2 0 0
"4" "ASA_SH" 1 2 0 0
"5" "nb_A" 2 1 0 0
"6" "nb_B" 2 1 0 0
"7" "ALA" 2 1 0 1
"8" "ARG" 2 1 0 0
"9" "ASN" 2 1 0 0
"11" "CYS" 2 1 1 0
"14" "GLY" 2 1 0 0
"15" "HIS" 2 1 1 0
"16" "ILE" 2 1 0 1
"17" "LEU" 2 1 0 1
"19" "MET" 2 1 0 1
"20" "PHE" 2 1 0 1
"22" "SER" 2 1 0 0
"23" "THR" 2 1 0 0
"24" "TRP" 2 1 0 1
"25" "TYR" 2 1 1 0
"26" "VAL" 2 1 0 1
"27" "A4" 2 1 0 1
"29" "A6" 2 1 0 1
"30" "A7" 2 1 0 1
"31" "A8" 2 1 0 1
"32" "A9" 2 1 0 1
"33" "A10" 2 1 0 1
"34" "A11" 2 1 0 1
"35" "R4" 1 2 1 0
"36" "R5" 1 2 1 0
"37" "R6" 1 2 1 0
"40" "R9" 2 1 1 0
"41" "R10" 2 1 1 0
"42" "R11" 2 1 1 0
"45" "N6" 2 1 0 0
"46" "N7" 2 1 0 0
"47" "N8" 2 1 0 0
"48" "N9" 2 1 0 0
"49" "N10" 2 1 0 0
"57" "D10" 2 1 1 0
"58" "D11" 2 1 1 0
"61" "C6" 2 1 1 0
"62" "C7" 2 1 1 0
"63" "C8" 2 1 1 0
"64" "C9" 2 1 1 0
"65" "C10" 2 1 1 0
"66" "C11" 2 1 1 0
"70" "Q7" 1 2 0 0
"73" "Q10" 2 1 0 0
"74" "Q11" 2 1 0 0
"76" "E5" 1 2 1 0
"77" "E6" 1 2 1 0
"84" "G5" 2 1 0 0
"85" "G6" 2 1 0 0
"86" "G7" 2 1 0 0
"87" "G8" 2 1 0 0
"88" "G9" 2 1 0 0
"89" "G10" 2 1 0 0
"90" "G11" 2 1 0 0
"92" "H5" 2 1 1 0
"93" "H6" 2 1 1 0
"94" "H7" 2 1 1 0
"95" "H8" 2 1 1 0
"96" "H9" 2 1 1 0
"97" "H10" 2 1 1 0
"99" "I4" 2 1 0 1
"100" "I5" 2 1 0 1
"101" "I6" 2 1 0 1
"102" "I7" 2 1 0 1
"103" "I8" 2 1 0 1
"104" "I9" 2 1 0 1
"105" "I10" 2 1 0 1
"106" "I11" 2 1 0 1
"107" "L4" 2 1 0 1
"108" "L5" 2 1 0 1
"109" "L6" 2 1 0 1
"110" "L7" 2 1 0 1
"111" "L8" 2 1 0 1
"112" "L9" 2 1 0 1
"113" "L10" 2 1 0 1
"114" "L11" 2 1 0 1
"115" "K4" 1 2 1 0
"116" "K5" 1 2 1 0
"117" "K6" 1 2 1 0
"118" "K7" 1 2 1 0
"119" "K8" 1 2 1 0
"120" "K9" 1 2 1 0
"121" "K10" 1 2 1 0
"122" "K11" 1 2 1 0
"123" "M4" 2 1 0 1
"124" "M5" 2 1 0 1
"125" "M6" 2 1 0 1
"126" "M7" 2 1 0 1
"127" "M8" 2 1 0 1
"128" "M9" 2 1 0 1
"129" "M10" 2 1 0 1
"130" "M11" 2 1 0 1
"131" "F4" 2 1 0 1
"132" "F5" 2 1 0 1
"133" "F6" 2 1 0 1
"134" "F7" 2 1 0 1
"135" "F8" 2 1 0 1
"136" "F9" 2 1 0 1
"137" "F10" 2 1 0 1
"138" "F11" 2 1 0 1
"139" "P4" 1 2 0 0
"144" "P9" 2 1 0 0
"145" "P10" 2 1 0 0
"146" "P11" 2 1 0 0
"149" "S6" 2 1 0 0
"150" "S7" 2 1 0 0
"151" "S8" 2 1 0 0
"152" "S9" 2 1 0 0
"153" "S10" 2 1 0 0
"154" "S11" 2 1 0 0
"155" "T4" 2 1 0 0
"156" "T5" 2 1 0 0
"157" "T6" 2 1 0 0
"159" "T8" 2 1 0 0
"160" "T9" 2 1 0 0
"161" "T10" 2 1 0 0
"162" "T11" 2 1 0 0
"167" "W8" 2 1 0 1
"172" "Y5" 2 1 1 0
"173" "Y6" 2 1 1 0
"174" "Y7" 2 1 1 0
"175" "Y8" 2 1 1 0
"176" "Y9" 2 1 1 0
"177" "Y10" 2 1 1 0
"178" "Y11" 2 1 1 0
"179" "V4" 2 1 0 1
"180" "V5" 2 1 0 1
"181" "V6" 2 1 0 1
"182" "V7" 2 1 0 1
"183" "V8" 2 1 0 1
"184" "V9" 2 1 0 1
"185" "V10" 2 1 0 1
"186" "V11" 2 1 0 1
