"row" "col"
"2-1" 1 1
"4-1" 3 1
"5-1" 4 1
"3-2" 5 1
"4-2" 6 1
"5-2" 7 1
"4-3" 8 1
"5-3" 9 1
"5-4" 10 1
"3-1" 2 2
"3-1" 2 3
"3-2" 5 3
"4-3" 8 3
"5-3" 9 3
"2-1" 1 4
"3-1" 2 4
"4-1" 3 4
"3-2" 5 4
"4-3" 8 4
"5-3" 9 4
"2-1" 1 5
"4-1" 3 5
"5-1" 4 5
"3-2" 5 5
"4-3" 8 5
"5-3" 9 5
"3-1" 2 6
"3-2" 5 6
"4-3" 8 6
"3-1" 2 7
"3-2" 5 7
"4-3" 8 7
"5-3" 9 7
"4-3" 8 8
"5-3" 9 8
"2-1" 1 9
"3-1" 2 9
"5-1" 4 9
"4-3" 8 9
"3-1" 2 10
"3-2" 5 10
"5-3" 9 10
"3-1" 2 11
"3-2" 5 11
"4-3" 8 11
"3-1" 2 12
"3-2" 5 12
"4-3" 8 12
"3-1" 2 13
"3-2" 5 13
"4-3" 8 13
"5-3" 9 13
"3-2" 5 14
"4-3" 8 15
"5-3" 9 15
"3-2" 5 16
"4-3" 8 16
"4-1" 3 17
"4-3" 8 17
"2-1" 1 18
"3-1" 2 18
"5-1" 4 18
"3-2" 5 18
"4-3" 8 18
"5-3" 9 18
"3-2" 5 19
"3-1" 2 20
"3-2" 5 20
"4-3" 8 20
"5-3" 9 20
"3-1" 2 21
"3-2" 5 21
"4-3" 8 21
"5-3" 9 21
"3-1" 2 22
"3-2" 5 22
"4-3" 8 22
"5-3" 9 22
"3-1" 2 23
"3-2" 5 23
"5-3" 9 23
"3-1" 2 24
"3-2" 5 24
"4-3" 8 24
"5-3" 9 24
"4-3" 8 25
"5-3" 9 25
"3-1" 2 27
"4-1" 3 28
"2-1" 1 29
"3-1" 2 29
"2-1" 1 30
"3-1" 2 30
"3-1" 2 31
"5-1" 4 32
"5-3" 9 32
"4-1" 3 33
"4-3" 8 33
"4-1" 3 34
"4-3" 8 34
"3-1" 2 35
"3-2" 5 35
"4-3" 8 35
"5-3" 9 35
"3-2" 5 36
"5-3" 9 36
"4-3" 8 37
"3-2" 5 38
"4-3" 8 38
"3-2" 5 39
"4-3" 8 39
"3-1" 2 40
"4-3" 8 40
"3-1" 2 41
"3-2" 5 41
"4-3" 8 41
"3-1" 2 42
"4-3" 8 42
"3-1" 2 43
"4-3" 8 43
"3-1" 2 44
"4-3" 8 44
"3-1" 2 45
"4-3" 8 45
"3-1" 2 46
"3-2" 5 46
"4-3" 8 46
"3-1" 2 47
"3-2" 5 47
"4-3" 8 47
"3-1" 2 48
"3-2" 5 48
"5-1" 4 49
"5-2" 7 49
"5-3" 9 49
"4-3" 8 50
"5-3" 9 50
"4-1" 3 52
"4-2" 6 52
"4-1" 3 53
"4-2" 6 53
"5-3" 9 54
"4-3" 8 55
"3-1" 2 56
"4-3" 8 56
"5-1" 4 57
"5-3" 9 57
"5-4" 10 57
"3-1" 2 58
"3-2" 5 58
"4-3" 8 58
"5-3" 9 58
"2-1" 1 59
"3-2" 5 59
"4-3" 8 59
"5-3" 9 59
"2-1" 1 60
"5-1" 4 60
"3-2" 5 60
"5-3" 9 60
"3-1" 2 61
"3-1" 2 63
"3-2" 5 63
"4-3" 8 63
"3-1" 2 64
"3-2" 5 64
"4-3" 8 64
